Quest,Quest,Order,Type,Status,Created_at
6268cb48968bb8000136c6ee,13817,JMB-v571784-01,CENCOSUD_SHOPPER,OPEN,Tue Apr 26 2022 21:49:12 GMT-0700 (Pacific Daylight Time)
6266e511d26fe50001b513b4,13817,JMB-v565148-01,CENCOSUD_SHOPPER,OPEN,Mon Apr 25 2022 11:14:41 GMT-0700 (Pacific Daylight Time)
6268affe175ef4000175235f,13817,JMB-v571035-01,CENCOSUD_SHOPPER,OPEN,Tue Apr 26 2022 19:52:46 GMT-0700 (Pacific Daylight Time)
6268aa90d26fe500019fc77f,13817,JMB-v570849-01,CENCOSUD_SHOPPER,OPEN,Tue Apr 26 2022 19:29:36 GMT-0700 (Pacific Daylight Time)
62682824968bb80001a3af5e,13817,JMB-v568918-01,CENCOSUD_SHOPPER,REVIEWING,Tue Apr 26 2022 10:13:08 GMT-0700 (Pacific Daylight Time)
62671a57175ef40001bcd153,13817,JMB-v566136-01,CENCOSUD_SHOPPER,OPEN,Mon Apr 25 2022 15:01:59 GMT-0700 (Pacific Daylight Time)
62681ea1968bb80001ce6c39,13817,JMB-v568763-01,CENCOSUD_SHOPPER,OPEN,Tue Apr 26 2022 09:32:33 GMT-0700 (Pacific Daylight Time)
6268110a968bb80001cca9f2,13817,JMB-v568594-01,CENCOSUD_SHOPPER,OPEN,Tue Apr 26 2022 08:34:34 GMT-0700 (Pacific Daylight Time)
6267d72e968bb80001a1bcee,13817,JMB-v568241-01,CENCOSUD_SHOPPER,OPEN,Tue Apr 26 2022 04:27:42 GMT-0700 (Pacific Daylight Time)
626aeb07968bb8000158a568,13817,JMB-v576565-01,DELIVERY_SHOPPER,REVIEWING,Thu Apr 28 2022 12:29:11 GMT-0700 (Pacific Daylight Time)
626aea90175ef40001cf7f59,13817,JMB-v574196-01,DELIVERY_SHOPPER,REVIEWING,Thu Apr 28 2022 12:27:12 GMT-0700 (Pacific Daylight Time)
626aea19d26fe50001b66472,13817,JMB-v576407-01,DELIVERY_SHOPPER,REVIEWING,Thu Apr 28 2022 12:25:13 GMT-0700 (Pacific Daylight Time)
